lat,lon,east_m,north_m
10.8515886363,106.7727254909,132.555,-184.549
10.8516065961,106.7727275180,132.777,-182.562
10.8516246040,106.7727290829,132.948,-180.570
10.8516424648,106.7727316834,133.233,-178.594
10.8516604211,106.7727337186,133.455,-176.608
10.8516783853,106.7727356995,133.672,-174.621
10.8516963469,106.7727376119,133.881,-172.634
10.8517142777,106.7727398493,134.125,-170.651
10.8517322024,106.7727421610,134.378,-168.668
10.8517500712,106.7727448782,134.675,-166.691
10.8517680293,106.7727468700,134.893,-164.705
10.8517860415,106.7727483667,135.057,-162.713
10.8518040187,106.7727501754,135.254,-160.724
10.8518219449,106.7727524419,135.502,-158.741
10.8518398703,106.7727547147,135.751,-156.758
10.8518578025,106.7727569014,135.990,-154.775
10.8518757956,106.7727585279,136.168,-152.785
10.8518937825,106.7727603234,136.364,-150.795
10.8519117851,106.7727619465,136.541,-148.804
10.8519296488,106.7727647089,136.843,-146.828
10.8519475782,106.7727670114,137.095,-144.844
10.8519655004,106.7727693598,137.352,-142.862
10.8519834544,106.7727714410,137.580,-140.876
10.8520013942,106.7727736733,137.824,-138.892
10.8520193267,106.7727757998,138.056,-136.908
10.8520372726,106.7727779321,138.289,-134.923
10.8520551812,106.7727803141,138.550,-132.942
10.8520730604,106.7727829189,138.835,-130.964
10.8520908841,106.7727856737,139.136,-128.993
10.8521088426,106.7727876653,139.354,-127.006
10.8521268457,106.7727890846,139.509,-125.015
10.8521447986,106.7727909809,139.716,-123.029
10.8521627490,106.7727929549,139.932,-121.043
10.8521806537,106.7727953069,140.189,-119.063
10.8521985299,106.7727979739,140.481,-117.085
10.8522164614,106.7728002234,140.727,-115.102
10.8522343900,106.7728021938,140.942,-113.119
10.8522523709,106.7728037617,141.113,-111.130
10.8522703110,106.7728055337,141.307,-109.145
10.8522882431,106.7728075426,141.527,-107.162
10.8523062102,106.7728093965,141.730,-105.174
10.8523241674,106.7728111468,141.921,-103.188
10.8523420666,106.7728134524,142.173,-101.208
10.8523600554,106.7728150494,142.348,-99.218
10.8523779661,106.7728173025,142.594,-97.237
10.8523959217,106.7728193486,142.818,-95.251
10.8524137860,106.7728220505,143.113,-93.275
10.8524317379,106.7728240654,143.333,-91.289
10.8524497047,106.7728259756,143.542,-89.302
10.8524676969,106.7728276272,143.723,-87.312
10.8524856725,106.7728294698,143.924,-85.323
10.8525036621,106.7728312177,144.115,-83.333
10.8525216297,106.7728331881,144.331,-81.346
10.8525396029,106.7728351475,144.545,-79.358
10.8525575290,106.7728374948,144.802,-77.375
10.8525754375,106.7728399636,145.072,-75.394
10.8525933366,106.7728424736,145.346,-73.414
10.8526112620,106.7728447839,145.599,-71.431
10.8526292001,106.7728469193,145.832,-69.447
10.8526471818,106.7728486058,146.017,-67.458
10.8526651035,106.7728508540,146.262,-65.476
10.8526830663,106.7728528033,146.476,-63.489
10.8527010477,106.7728544563,146.656,-61.500
10.8527190531,106.7728560038,146.826,-59.508
10.8527370162,106.7728580194,147.046,-57.521
10.8527549956,106.7728598727,147.249,-55.532
10.8527729738,106.7728617316,147.452,-53.544
10.8527908421,106.7728644781,147.752,-51.567
10.8528086938,106.7728673639,148.068,-49.592
10.8528265281,106.7728703356,148.393,-47.620
10.8528445312,106.7728718737,148.561,-45.628
10.8528625514,106.7728733150,148.718,-43.635
10.8528805581,106.7728749250,148.894,-41.643
10.8528985680,106.7728764088,149.057,-39.651
10.8529165774,106.7728776732,149.195,-37.659
10.8529346139,106.7728787547,149.313,-35.664
10.8529525341,106.7728810010,149.559,-33.682
10.8529704635,106.7728832513,149.805,-31.698
10.8529883167,106.7728860495,150.111,-29.724
10.8530061673,106.7728888024,150.412,-27.749
10.8530240503,106.7728914507,150.701,-25.771
